Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Chattanooga, TN",2014,47,99,,77,,15,,4,,3,,,-,9,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Reading, PA",2014,47,36,,27,,5,,2,,2,,,-,,-,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Wilmington, DE",2014,47,11,,6,,5,,,-,,-,,-,1,,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
"St. Petersburg, FL",2014,47,71,,44,,18,,4,,1,,4,,4,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Camden, NJ",2014,47,26,,17,,7,,1,,1,,,-,2,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Knoxville, TN",2014,47,133,,91,,30,,7,,1,,4,,9,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Grand Rapids, MI",2014,47,71,,50,,13,,3,,2,,3,,,-,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Erie, PA",2014,47,65,,47,,16,,1,,1,,,-,3,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Salt Lake City, UT",2014,47,167,,118,,28,,9,,4,,8,,10,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Gary, IN",2014,47,4,,1,,2,,,-,1,,,-,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Baltimore, MD",2014,47,169,,101,,45,,20,,3,,,-,6,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
Pacific,2014,47,1886,,1327,,397,,93,,33,,36,,137,,"Pacific
(38.48359328000049, -90.74140990299969)",
"Lowell, MA",2014,47,18,,15,,1,,1,,1,,,-,2,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Savannah, GA",2014,47,51,,38,,11,,2,,,-,,-,3,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"New Orleans, LA",2014,47,53,,25,,18,,6,,3,,1,,2,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"Columbus, OH",2014,47,255,,163,,67,,14,,1,,10,,10,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Fort Worth, TX",2014,47,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Atlanta, GA",2014,47,153,,90,,44,,10,,5,,4,,10,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Washington, D.C.",2014,47,113,,69,,31,,8,,3,,2,,9,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Nashville, TN",2014,47,172,,100,,49,,17,,2,,4,,6,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
"Somerville, MA",2014,47,2,,2,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Houston, TX",2014,47,387,,213,,120,,32,,10,,12,,3,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Birmingham, AL",2014,47,210,,140,,45,,22,,2,,1,,11,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Syracuse, NY",2014,47,49,,43,,5,,1,,,-,,-,4,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"El Paso, TX",2014,47,111,,68,,30,,8,,3,,2,,4,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"New York City, NY",2014,47,1066,,780,,202,,53,,14,,16,,34,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Minneapolis, MN",2014,47,68,,50,,15,,1,,,-,2,,3,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Chicago, IL",2014,47,241,,152,,63,,14,,7,,5,,1,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Philadelphia, PA",2014,47,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Wichita, KS",2014,47,79,,53,,15,,5,,3,,3,,5,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
"Allentown, PA",2014,47,34,,26,,5,,1,,,-,2,,,-,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Norfolk, VA",2014,47,46,,35,,9,,,-,1,,1,,3,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"San Francisco, CA",2014,47,125,,82,,33,,6,,2,,2,,5,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"Pasadena, CA",2014,47,31,,26,,4,,1,,,-,,-,4,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Peoria, IL",2014,47,72,,43,,18,,7,,1,,3,,5,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Miami, FL",2014,47,46,,37,,8,,,-,1,,,-,1,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Youngstown, OH",2014,47,66,,52,,13,,1,,,-,,-,1,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
"Pueblo, CO",2014,47,48,,37,,9,,2,,,-,,-,2,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Toledo, OH",2014,47,115,,81,,27,,4,,2,,1,,7,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Paterson, NJ",2014,47,12,,8,,1,,3,,,-,,-,1,,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Little Rock, AR",2014,47,137,,90,,34,,5,,6,,2,,6,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"Fall River, MA",2014,47,21,,15,,5,,1,,,-,,-,,-,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Evansville, IN",2014,47,43,,33,,8,,2,,,-,,-,2,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Utica, NY",2014,47,21,,19,,1,,1,,,-,,-,1,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
Mid. Atlantic,2014,47,1751,,1295,,331,,77,,24,,23,,81,,"Mid. Atlantic
(41.404000977000464, -95.01373959899968)",
"New Bedford, MA",2014,47,29,,23,,4,,2,,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"Providence, RI",2014,47,90,,63,,15,,8,,2,,2,,2,,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Rochester, NY",2014,47,177,,139,,29,,3,,3,,3,,12,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Austin, TX",2014,47,107,,72,,27,,5,,3,,,-,7,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Honolulu, HI",2014,47,75,,55,,13,,6,,,-,1,,5,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Fort Wayne, IN",2014,47,67,,52,,14,,,-,,-,1,,,-,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Kansas City, MO",2014,47,84,,55,,23,,4,,2,,,-,5,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Boise, ID",2014,47,82,,69,,12,,,-,,-,1,,6,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Buffalo, NY",2014,47,35,,25,,9,,1,,,-,,-,3,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Montgomery, AL",2014,47,67,,41,,19,,5,,,-,2,,4,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"San Antonio, TX",2014,47,241,,167,,52,,13,,4,,5,,10,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Yonkers, NY",2014,47,20,,16,,2,,2,,,-,,-,1,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
"Fresno, CA",2014,47,144,,110,,20,,7,,4,,3,,13,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Berkeley, CA",2014,47,,U,,U,,U,,U,,U,,U,,U,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Cincinnati, OH",2014,47,82,,49,,16,,7,,3,,7,,4,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Duluth, MN",2014,47,42,,25,,12,,5,,,-,,-,2,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
E.S. Central,2014,47,960,,632,,228,,74,,12,,14,,54,,"E.S. Central
(30.553101212000456, -91.0396773819997)",
"Scranton, PA",2014,47,20,,15,,5,,,-,,-,,-,3,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Schenectady, NY",2014,47,21,,19,,2,,,-,,-,,-,5,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Hartford, CT",2014,47,48,,37,,8,,2,,1,,,-,10,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Baton Rouge, LA",2014,47,81,,55,,19,,4,,1,,2,,6,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Portland, OR",2014,47,137,,96,,31,,9,,1,,,-,8,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Spokane, WA",2014,47,79,,59,,13,,4,,2,,1,,8,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Albany, NY",2014,47,55,,40,,13,,1,,1,,,-,2,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Sacramento, CA",2014,47,241,,171,,51,,6,,8,,5,,19,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"Los Angeles, CA",2014,47,272,,168,,70,,21,,6,,7,,22,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
New England,2014,47,546,,375,,121,,33,,8,,9,,29,,"New England
(46.53632838800047, -102.86052705099968)",
"St. Paul, MN",2014,47,65,,40,,15,,5,,2,,3,,5,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Colorado Springs, CO",2014,47,82,,70,,8,,3,,,-,1,,6,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Indianapolis, IN",2014,47,186,,122,,43,,11,,4,,6,,13,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Ogden, UT",2014,47,33,,28,,2,,3,,,-,,-,2,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Elizabeth, NJ",2014,47,17,,13,,3,,1,,,-,,-,,-,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"San Diego, CA",2014,47,175,,125,,33,,7,,3,,7,,10,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"Albuquerque, NM",2014,47,141,,100,,30,,7,,2,,2,,12,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
S. Atlantic,2014,47,1130,,721,,300,,68,,19,,22,,65,,"S. Atlantic
(41.404000977000464, -95.01373959899968)",
"Charlotte, NC",2014,47,125,,82,,30,,6,,2,,5,,5,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"South Bend, IN",2014,47,53,,46,,4,,2,,,-,1,,4,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Omaha, NE",2014,47,117,,86,,22,,2,,,-,7,,7,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"Canton, OH",2014,47,25,,12,,9,,2,,1,,1,,1,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Rockford, IL",2014,47,67,,50,,13,,2,,1,,1,,1,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"Cleveland, OH",2014,47,281,,195,,70,,12,,3,,1,,18,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Cambridge, MA",2014,47,15,,13,,2,,,-,,-,,-,,-,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"San Jose, CA",2014,47,220,,175,,34,,6,,2,,3,,17,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Waterbury, CT",2014,47,34,,27,,5,,2,,,-,,-,1,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Lexington, KY",2014,47,73,,46,,18,,9,,,-,,-,,-,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"St. Louis, MO",2014,47,132,,60,,40,,19,,10,,2,,5,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"Lincoln, NC",2014,47,69,,55,,10,,3,,1,,,-,1,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Santa Cruz, CA",2014,47,33,,19,,11,,1,,,-,2,,1,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
Mountain,2014,47,1241,,880,,246,,66,,23,,26,,63,,"Mountain
(48.68614626200048, -97.86213953099968)",
"Akron, OH",2014,47,49,,36,,7,,3,,1,,2,,4,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
New England,2014,48,397,,271,,95,,19,,5,,7,,28,,,
Mid. Atlantic,2014,48,1818,,1326,,369,,73,,30,,20,,96,,,
E.N. Central,2014,48,1734,,1161,,397,,104,,41,,29,,87,,,
W.N. Central,2014,48,443,,272,,112,,35,,12,,11,,26,,,
S. Atlantic,2014,48,654,,415,,152,,51,,11,,16,,38,,,
E.S. Central,2014,48,616,,395,,159,,42,,8,,12,,37,,,
W.S. Central,2014,48,1088,,713,,262,,73,,22,,16,,42,,,
Mountain,2014,48,950,,621,,220,,67,,30,,12,,46,,,
Pacific,2014,48,1311,,918,,292,,65,,25,,11,,87,,,
Total¶,2014,48,9011,,6092,,2058,,529,,184,,134,,487,,,
"Worcester, MA",2014,48,51,,26,,20,,2,,2,,1,,6,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
"Schenectady, NY",2014,48,15,,11,,4,,,-,,-,,-,,-,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Jacksonville, FL",2014,48,35,,24,,6,,4,,1,,,-,,-,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Hartford, CT",2014,48,28,,20,,6,,2,,,-,,-,2,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Camden, NJ",2014,48,35,,24,,5,,5,,1,,,-,1,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Toledo, OH",2014,48,97,,74,,15,,3,,3,,2,,7,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Memphis, TN",2014,48,109,,69,,34,,5,,,-,1,,9,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Knoxville, TN",2014,48,106,,72,,24,,6,,2,,2,,7,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Berkeley, CA",2014,48,14,,13,,1,,,-,,-,,-,2,,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"San Francisco, CA",2014,48,71,,53,,11,,5,,1,,1,,3,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"Denver, CO",2014,48,61,,34,,17,,9,,1,,,-,2,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Pittsburgh, PA§",2014,48,32,,28,,4,,,-,,-,,-,1,,"Pittsburgh, PA
(40.43834080700003, -79.99746842499997)",
"St. Paul, MN",2014,48,44,,26,,9,,4,,3,,2,,2,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Tucson, AZ",2014,48,126,,93,,28,,3,,1,,1,,5,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
"Houston, TX",2014,48,258,,159,,71,,19,,5,,4,,4,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"New Bedford, MA",2014,48,13,,8,,5,,,-,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"Mobile, AL",2014,48,42,,28,,10,,4,,,-,,-,2,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Peoria, IL",2014,48,50,,36,,8,,2,,4,,,-,1,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Portland, OR",2014,48,109,,73,,26,,5,,4,,1,,5,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Richmond, VA",2014,48,63,,42,,17,,2,,,-,,-,2,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Philadelphia, PA",2014,48,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Tulsa, OK",2014,48,108,,67,,33,,3,,1,,4,,6,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
"San Diego, CA",2014,48,100,,63,,29,,7,,1,,,-,3,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"Glendale, CA",2014,48,23,,20,,1,,2,,,-,,-,6,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Fort Wayne, IN",2014,48,77,,51,,22,,3,,1,,,-,3,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Shreveport, LA",2014,48,29,,23,,5,,1,,,-,,-,3,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Baton Rouge, LA",2014,48,71,,52,,12,,1,,6,,,-,2,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Tacoma, WA",2014,48,106,,71,,30,,3,,2,,,-,6,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
"Cleveland, OH",2014,48,230,,159,,57,,9,,3,,2,,6,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Akron, OH",2014,48,38,,29,,5,,3,,,-,1,,,-,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Dayton, OH",2014,48,79,,56,,13,,7,,2,,1,,4,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Salt Lake City, UT",2014,48,109,,59,,28,,14,,3,,5,,6,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Detroit, MI",2014,48,94,,62,,24,,7,,1,,,-,4,,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Waterbury, CT",2014,48,21,,17,,3,,1,,,-,,-,,-,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"South Bend, IN",2014,48,45,,26,,10,,6,,2,,1,,1,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Lexington, KY",2014,48,62,,42,,10,,8,,,-,2,,,-,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Grand Rapids, MI",2014,48,66,,47,,13,,1,,2,,3,,7,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Gary, IN",2014,48,15,,7,,6,,,-,2,,,-,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Lynn, MA",2014,48,12,,9,,3,,,-,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"Dallas, TX",2014,48,132,,79,,38,,7,,5,,1,,7,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"Los Angeles, CA",2014,48,161,,109,,34,,10,,5,,3,,14,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Austin, TX",2014,48,71,,46,,12,,9,,1,,3,,4,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Savannah, GA",2014,48,31,,20,,6,,2,,2,,1,,4,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"Fall River, MA",2014,48,12,,10,,1,,,-,,-,1,,,-,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Tampa, FL",2014,48,27,,13,,,-,1,,1,,5,,,-,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Las Vegas, NV",2014,48,256,,183,,48,,11,,12,,2,,12,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"St. Petersburg, FL",2014,48,11,,8,,3,,,-,,-,,-,,-,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Spokane, WA",2014,48,43,,33,,8,,2,,,-,,-,3,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Youngstown, OH",2014,48,51,,36,,12,,2,,1,,,-,2,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
"Seattle, WA",2014,48,61,,39,,13,,7,,,-,2,,1,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Buffalo, NY",2014,48,163,,108,,39,,6,,8,,2,,12,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Omaha, NE",2014,48,56,,32,,14,,6,,3,,1,,2,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"Fresno, CA",2014,48,148,,97,,38,,7,,5,,1,,12,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Trenton, NJ",2014,48,15,,7,,7,,1,,,-,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Lansing, MI",2014,48,25,,20,,3,,1,,,-,1,,,-,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Utica, NY",2014,48,22,,16,,3,,2,,1,,,-,2,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"San Antonio, TX",2014,48,179,,133,,32,,12,,2,,,-,7,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Phoenix, AZ",2014,48,136,,83,,37,,10,,4,,2,,9,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Minneapolis, MN",2014,48,47,,26,,11,,7,,2,,1,,4,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Paterson, NJ",2014,48,,U,,U,,U,,U,,U,,U,,U,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Rockford, IL",2014,48,42,,28,,11,,1,,,-,,-,,-,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"Charlotte, NC",2014,48,113,,77,,21,,9,,2,,4,,8,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Bridgeport, CT",2014,48,17,,13,,4,,,-,,-,,-,,-,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Albuquerque, NM",2014,48,92,,56,,23,,9,,2,,2,,6,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"New Orleans, LA",2014,48,47,,24,,20,,3,,,-,,-,,-,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"Ogden, UT",2014,48,19,,12,,4,,2,,1,,,-,1,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Scranton, PA",2014,48,19,,16,,2,,1,,,-,,-,1,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"New Haven, CT",2014,48,30,,21,,6,,1,,1,,1,,4,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Milwaukee, WI",2014,48,63,,40,,20,,2,,,-,1,,5,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Atlanta, GA",2014,48,93,,52,,25,,11,,2,,3,,3,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Long Beach, CA",2014,48,46,,33,,10,,1,,2,,,-,3,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Indianapolis, IN",2014,48,159,,98,,45,,9,,3,,4,,12,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Honolulu, HI",2014,48,62,,41,,16,,3,,1,,1,,6,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"St. Louis, MO",2014,48,65,,38,,16,,6,,2,,3,,2,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"Miami, FL",2014,48,48,,42,,4,,2,,,-,,-,2,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Wichita, KS",2014,48,73,,50,,16,,5,,1,,1,,6,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
"Norfolk, VA",2014,48,22,,17,,4,,1,,,-,,-,2,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Birmingham, AL",2014,48,97,,56,,31,,3,,2,,5,,7,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Pueblo, CO",2014,48,29,,21,,6,,1,,1,,,-,1,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Kansas City, MO",2014,48,76,,45,,29,,,-,,-,1,,4,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Erie, PA",2014,48,44,,34,,8,,1,,,-,1,,3,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Columbus, OH",2014,48,192,,123,,46,,15,,4,,4,,11,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"El Paso, TX",2014,48,109,,71,,21,,13,,2,,2,,5,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Duluth, MN",2014,48,17,,13,,3,,1,,,-,,-,2,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Elizabeth, NJ",2014,48,6,,4,,1,,,-,1,,,-,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Boston, MA",2014,48,119,,82,,26,,7,,1,,3,,12,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"San Jose, CA",2014,48,168,,126,,36,,4,,2,,,-,9,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Providence, RI",2014,48,38,,30,,7,,,-,1,,,-,,-,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Montgomery, AL",2014,48,32,,16,,9,,5,,2,,,-,4,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Fort Worth, TX",2014,48,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Lowell, MA",2014,48,13,,8,,3,,2,,,-,,-,1,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Kansas City, KS",2014,48,35,,21,,9,,4,,1,,,-,3,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Colorado Springs, CO",2014,48,70,,44,,18,,4,,4,,,-,2,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Rochester, NY",2014,48,108,,89,,13,,4,,2,,,-,11,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Sacramento, CA",2014,48,156,,112,,33,,7,,2,,2,,8,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"Lincoln, NC",2014,48,30,,21,,5,,2,,,-,2,,1,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Little Rock, AR",2014,48,56,,37,,13,,5,,,-,1,,1,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"Chicago, IL",2014,48,278,,183,,59,,22,,8,,6,,14,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"New York City, NY",2014,48,1118,,812,,237,,42,,13,,14,,50,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Pasadena, CA",2014,48,20,,19,,1,,,-,,-,,-,5,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Wilmington, DE",2014,48,8,,7,,1,,,-,,-,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
"Reading, PA",2014,48,26,,21,,5,,,-,,-,,-,5,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Jersey City, NJ",2014,48,,U,,U,,U,,U,,U,,U,,U,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"Yonkers, NY",2014,48,16,,12,,3,,1,,,-,,-,1,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
"Santa Cruz, CA",2014,48,23,,16,,5,,2,,,-,,-,1,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Washington, D.C.",2014,48,72,,44,,22,,6,,,-,,-,8,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Corpus Christi, TX",2014,48,28,,22,,5,,,-,,-,1,,3,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Newark, NJ",2014,48,43,,19,,18,,3,,2,,1,,2,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Canton, OH",2014,48,22,,18,,3,,,-,,-,1,,3,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Nashville, TN",2014,48,97,,62,,24,,9,,1,,1,,5,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
